PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10113,0,0,1.373,-177.803,154.213,0,0,0,0
10114,0,0,1.379,-178.7,153.708,0,0,0,0
10115,0,0,1.386,-179.598,153.204,0,0,0,0
10116,0,0,1.392,-180.495,152.699,0,0,0,0
10117,0,0,1.399,-181.393,152.195,0,0,0,0
10118,0,0,1.405,-182.29,151.69,0,0,0,0
10119,0,0,1.412,-183.188,151.185,0,0,0,0
10120,0,0,1.418,-184.085,150.681,0,0,0,0
10121,0,0,1.425,-184.983,150.177,0,0,0,0
10122,0,0,1.431,-185.88,149.672,0,0,0,0
10123,0,0,1.438,-186.778,149.168,0,0,0,0
10124,0,0,1.444,-187.676,148.663,0,0,0,0
10125,0,0,1.45,-188.573,148.159,0,0,0,0
10126,0,0,1.457,-189.471,147.654,0,0,0,0
10127,0,0,1.464,-190.368,147.149,0,0,0,0
10128,0,0,1.47,-191.266,146.645,0,0,0,0
10129,0,0,1.476,-192.163,146.141,0,0,0,0
10130,0,0,1.483,-193.061,145.636,0,0,0,0
10131,0,0,1.49,-193.958,145.132,0,0,0,0
10132,0,0,1.496,-194.856,144.627,0,0,0,0
10133,0,0,1.503,-195.754,144.123,0,0,0,0
10134,0,0,1.451,-196.607,143.601,0,0,0,0
10135,0,0,1.48,-197.444,143.054,0,0,0,0
10136,0,0,1.442,-198.261,142.478,0,0,0,0
10137,0,0,1.469,-199.054,141.868,0,0,0,0
10138,0,0,1.486,-199.814,141.219,0,0,0,0
10139,0,0,1.489,-200.536,140.528,0,0,0,0
10140,0,0,1.505,-201.213,139.791,0,0,0,0
10141,0,0,1.509,-201.834,139.008,0,0,0,0
10142,0,0,1.505,-202.392,138.179,0,0,0,0
10143,0,0,1.505,-202.877,137.304,0,0,0,0
10144,0,0,1.506,-203.277,136.388,0,0,0,0
10145,0,0,1.49,-203.584,135.437,0,0,0,0
10146,0,0,1.486,-203.798,134.461,0,0,0,0
10147,0,0,1.483,-203.922,133.469,0,0,0,0
10148,0,0,1.492,-203.962,132.47,0,0,0,0
10149,0,0,1.465,-203.923,131.471,0,0,0,0
10150,0,0,1.472,-203.814,130.477,0,0,0,0
10151,0,0,1.445,-203.64,129.491,0,0,0,0
10152,0,0,1.424,-203.408,128.52,0,0,0,0
10153,0,0,1.432,-203.126,127.56,0,0,0,0
10154,0,0,1.417,-202.8,126.615,0,0,0,0
10155,0,0,1.411,-202.437,125.683,0,0,0,0
10156,0,0,1.4,-202.043,124.764,0,0,0,0
10157,0,0,1.37,-201.625,123.856,0,0,0,0
10158,0,0,1.375,-201.189,122.956,0,0,0,0
10159,0,0,1.379,-200.473,121.524,0,0,0,0
10160,0,0,1.365,-199.929,120.5,0,0,0,0
10161,0,0,1.355,-199.428,119.611,0,0,0,0
10162,0,0,1.359,-198.927,118.722,0,0,0,0
10163,0,0,1.362,-198.426,117.833,0,0,0,0
10164,0,0,1.366,-197.925,116.944,0,0,0,0
10165,0,0,1.37,-197.424,116.055,0,0,0,0
10166,0,0,1.353,-196.936,115.083,0,0,0,0
10167,0,0,1.336,-196.448,114.112,0,0,0,0
10168,0,0,1.32,-195.96,113.14,0,0,0,0
10169,0,0,1.304,-195.472,112.17,0,0,0,0
10170,0,0,1.288,-194.984,111.199,0,0,0,0
10171,0,0,1.272,-194.496,110.228,0,0,0,0
10172,0,0,1.256,-194.008,109.257,0,0,0,0
10173,0,0,1.24,-193.52,108.286,0,0,0,0
10174,0,0,1.224,-193.033,107.315,0,0,0,0
10175,0,0,1.223,-192.542,106.429,0,0,0,0
10176,0,0,1.312,-192.025,105.471,0,0,0,0
10177,0,0,1.307,-191.465,104.53,0,0,0,0
10178,0,0,1.286,-190.942,103.63,0,0,0,0
10179,0,0,1.272,-190.406,102.794,0,0,0,0
10180,0,0,1.261,-189.832,101.935,0,0,0,0
10181,0,0,1.253,-189.207,101.148,0,0,0,0
10182,0,0,1.235,-188.416,100.357,0,0,0,0
10183,0,0,1.22,-187.536,99.688,0,0,0,0
10184,0,0,1.211,-186.598,99.209,0,0,0,0
10185,0,0,1.191,-185.62,98.896,0,0,0,0
10186,0,0,1.178,-184.586,98.668,0,0,0,0
10187,0,0,1.145,-183.491,98.641,0,0,0,0
10188,0,0,1.157,-182.388,98.685,0,0,0,0
10189,0,0,1.164,-181.358,98.934,0,0,0,0
10190,0,0,1.141,-180.33,99.255,0,0,0,0
10191,0,0,1.136,-179.355,99.625,0,0,0,0
10192,0,0,1.174,-178.342,100.109,0,0,0,0
10193,0,0,1.137,-177.388,100.56,0,0,0,0
10194,0,0,1.103,-176.342,101.05,0,0,0,0
10195,0,0,1.109,-174.678,101.948,0,0,0,0
10196,0,0,1.106,-173.769,102.457,0,0,0,0
10197,0,0,1.104,-172.86,102.965,0,0,0,0
10198,0,0,1.101,-171.951,103.473,0,0,0,0
10199,0,0,1.099,-171.042,103.982,0,0,0,0
10200,0,0,1.096,-170.133,104.49,0,0,0,0
10201,0,0,1.094,-169.225,104.999,0,0,0,0
10202,0,0,1.088,-168.325,105.542,0,0,0,0
10203,0,0,1.082,-167.425,106.084,0,0,0,0
10204,0,0,1.076,-166.525,106.627,0,0,0,0
10205,0,0,1.07,-165.625,107.17,0,0,0,0
10206,0,0,1.064,-164.725,107.713,0,0,0,0
10207,0,0,1.058,-163.825,108.255,0,0,0,0
10208,0,0,1.052,-162.925,108.798,0,0,0,0
10209,0,0,1.046,-162.025,109.341,0,0,0,0
10210,0,0,1.04,-161.125,109.884,0,0,0,0
10211,0,0,1.034,-160.226,110.427,0,0,0,0
10212,0,0,1.029,-159.333,110.929,0,0,0,0
10213,0,0,1.023,-158.46,111.42,0,0,0,0
10214,0,0,1.017,-157.588,111.911,0,0,0,0
10215,0,0,1.012,-156.716,112.403,0,0,0,0
10216,0,0,1.006,-155.843,112.894,0,0,0,0
10217,0,0,1.001,-154.971,113.386,0,0,0,0
10218,0,0,0.995,-154.099,113.877,0,0,0,0
10219,0,0,0.99,-153.226,114.368,0,0,0,0
10220,0,0,0.984,-152.354,114.86,0,0,0,0
10221,0,0,0.978,-151.482,115.351,0,0,0,0
10222,0,0,0.973,-150.609,115.843,0,0,0,0
10223,0,0,0.967,-149.737,116.334,0,0,0,0
10224,0,0,0.962,-148.865,116.826,0,0,0,0
10225,0,0,0.956,-147.993,117.317,0,0,0,0
10226,0,0,0.951,-147.12,117.808,0,0,0,0
10227,0,0,0.945,-146.248,118.3,0,0,0,0
10228,0,0,0.94,-145.376,118.791,0,0,0,0
10229,0,0,0.934,-144.503,119.283,0,0,0,0
10230,0,0,0.928,-143.631,119.774,0,0,0,0
10231,0,0,0.923,-142.759,120.266,0,0,0,0
10232,0,0,0.917,-141.886,120.757,0,0,0,0
10233,0,0,0.912,-141.014,121.248,0,0,0,0
10234,0,0,0.906,-140.142,121.74,0,0,0,0
10235,0,0,0.901,-139.269,122.231,0,0,0,0
10236,0,0,0.895,-138.397,122.723,0,0,0,0
10237,0,0,0.89,-137.525,123.214,0,0,0,0
10238,0,0,0.884,-136.653,123.706,0,0,0,0
10239,0,0,0.878,-135.78,124.197,0,0,0,0
10240,0,0,0.873,-134.908,124.688,0,0,0,0
10241,0,0,0.867,-134.036,125.18,0,0,0,0
10242,0,0,0.862,-133.163,125.671,0,0,0,0
10243,0,0,0.856,-132.291,126.163,0,0,0,0
10244,0,0,0.851,-131.419,126.654,0,0,0,0
10245,0,0,0.845,-130.546,127.145,0,0,0,0
