PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10151,0,0,0.884,-116.763,175.924,0,0,0,0
10152,0,0,0.889,-115.987,174.78,0,0,0,0
10153,0,0,0.857,-115.281,173.687,0,0,0,0
10154,0,0,0.847,-114.582,172.514,0,0,0,0
10155,0,0,0.856,-114.094,171.643,0,0,0,0
10156,0,0,0.851,-113.598,170.758,0,0,0,0
10157,0,0,0.847,-113.103,169.874,0,0,0,0
10158,0,0,0.842,-112.608,168.99,0,0,0,0
10159,0,0,0.838,-112.112,168.106,0,0,0,0
10160,0,0,0.834,-111.617,167.221,0,0,0,0
10161,0,0,0.829,-111.122,166.337,0,0,0,0
10162,0,0,0.825,-110.627,165.453,0,0,0,0
10163,0,0,0.82,-110.131,164.569,0,0,0,0
10164,0,0,0.816,-109.636,163.685,0,0,0,0
10165,0,0,0.812,-109.141,162.8,0,0,0,0
10166,0,0,0.807,-108.645,161.916,0,0,0,0
10167,0,0,0.803,-108.15,161.032,0,0,0,0
10168,0,0,0.798,-107.655,160.148,0,0,0,0
10169,0,0,0.794,-107.16,159.263,0,0,0,0
10170,0,0,0.79,-106.664,158.379,0,0,0,0
10171,0,0,0.785,-106.169,157.495,0,0,0,0
10172,0,0,0.781,-105.674,156.611,0,0,0,0
10173,0,0,0.777,-105.179,155.727,0,0,0,0
10174,0,0,0.695,-104.738,154.83,0,0,0,0
10175,0,0,0.688,-104.32,153.922,0,0,0,0
10176,0,0,0.717,-103.93,153.001,0,0,0,0
10177,0,0,0.679,-103.575,152.066,0,0,0,0
10178,0,0,0.639,-103.258,151.118,0,0,0,0
10179,0,0,0.681,-102.987,150.155,0,0,0,0
10180,0,0,0.677,-102.766,149.18,0,0,0,0
10181,0,0,0.625,-102.601,148.194,0,0,0,0
10182,0,0,0.634,-102.499,147.199,0,0,0,0
10183,0,0,0.65,-102.465,146.2,0,0,0,0
10184,0,0,0.667,-102.504,145.201,0,0,0,0
10185,0,0,0.649,-102.619,144.208,0,0,0,0
10186,0,0,0.73,-102.808,143.226,0,0,0,0
10187,0,0,0.637,-103.071,142.262,0,0,0,0
10188,0,0,0.635,-103.405,141.319,0,0,0,0
10189,0,0,0.675,-103.806,140.404,0,0,0,0
10190,0,0,0.587,-104.273,139.52,0,0,0,0
10191,0,0,0.587,-104.803,138.672,0,0,0,0
10192,0,0,0.626,-105.391,137.863,0,0,0,0
10193,0,0,0.631,-106.035,137.098,0,0,0,0
10194,0,0,0.636,-106.73,136.38,0,0,0,0
10195,0,0,0.621,-107.474,135.711,0,0,0,0
10196,0,0,0.656,-108.261,135.095,0,0,0,0
10197,0,0,0.657,-109.087,134.532,0,0,0,0
10198,0,0,0.655,-109.95,134.026,0,0,0,0
10199,0,0,0.661,-110.915,133.51,0,0,0,0
10200,0,0,0.671,-111.88,132.995,0,0,0,0
10201,0,0,0.763,-112.845,132.48,0,0,0,0
10202,0,0,0.681,-113.81,131.964,0,0,0,0
10203,0,0,0.591,-114.774,131.449,0,0,0,0
10204,0,0,0.847,-115.74,130.934,0,0,0,0
10205,0,0,0.783,-117.183,130.124,0,0,0,0
10206,0,0,0.79,-118.073,129.637,0,0,0,0
10207,0,0,0.797,-118.963,129.151,0,0,0,0
10208,0,0,0.805,-119.854,128.665,0,0,0,0
10209,0,0,0.812,-120.744,128.179,0,0,0,0
10210,0,0,0.82,-121.635,127.693,0,0,0,0
10211,0,0,0.827,-122.525,127.207,0,0,0,0
10212,0,0,0.834,-123.416,126.721,0,0,0,0
10213,0,0,0.842,-124.306,126.235,0,0,0,0
10214,0,0,0.849,-125.197,125.749,0,0,0,0
10215,0,0,0.857,-126.087,125.263,0,0,0,0
10216,0,0,0.864,-126.978,124.777,0,0,0,0
10217,0,0,0.871,-127.868,124.291,0,0,0,0
10218,0,0,0.879,-128.759,123.805,0,0,0,0
10219,0,0,0.886,-129.649,123.319,0,0,0,0
10220,0,0,0.894,-130.54,122.833,0,0,0,0
10221,0,0,0.901,-131.43,122.347,0,0,0,0
10222,0,0,0.908,-132.321,121.861,0,0,0,0
10223,0,0,0.916,-133.211,121.375,0,0,0,0
10224,0,0,0.923,-134.102,120.889,0,0,0,0
10225,0,0,0.931,-134.992,120.403,0,0,0,0
10226,0,0,0.938,-135.883,119.917,0,0,0,0
10227,0,0,0.946,-136.773,119.431,0,0,0,0
10228,0,0,0.953,-137.664,118.945,0,0,0,0
10229,0,0,0.96,-138.554,118.459,0,0,0,0
10230,0,0,0.968,-139.445,117.973,0,0,0,0
10231,0,0,0.975,-140.335,117.487,0,0,0,0
10232,0,0,0.983,-141.226,117.001,0,0,0,0
10233,0,0,0.99,-142.116,116.515,0,0,0,0
10234,0,0,0.997,-143.007,116.029,0,0,0,0
10235,0,0,1.005,-143.897,115.543,0,0,0,0
10236,0,0,1.012,-144.788,115.057,0,0,0,0
10237,0,0,1.02,-145.678,114.571,0,0,0,0
10238,0,0,1.027,-146.569,114.085,0,0,0,0
10239,0,0,1.034,-147.459,113.599,0,0,0,0
10240,0,0,1.042,-148.349,113.113,0,0,0,0
10241,0,0,1.049,-149.24,112.627,0,0,0,0
10242,0,0,1.057,-150.13,112.141,0,0,0,0
10243,0,0,1.064,-151.021,111.655,0,0,0,0
10244,0,0,1.071,-151.911,111.169,0,0,0,0
10245,0,0,1.079,-152.802,110.683,0,0,0,0
10246,0,0,1.086,-153.692,110.197,0,0,0,0
10247,0,0,1.094,-154.583,109.711,0,0,0,0
10248,0,0,1.101,-155.473,109.225,0,0,0,0
10249,0,0,1.109,-156.364,108.739,0,0,0,0
10250,0,0,1.116,-157.254,108.253,0,0,0,0
10251,0,0,1.123,-158.145,107.767,0,0,0,0
10252,0,0,1.131,-159.035,107.281,0,0,0,0
10253,0,0,1.138,-159.926,106.795,0,0,0,0
10254,0,0,1.146,-160.816,106.309,0,0,0,0
10255,0,0,1.153,-161.707,105.823,0,0,0,0
10256,0,0,1.16,-162.597,105.337,0,0,0,0
10257,0,0,1.168,-163.488,104.851,0,0,0,0
10258,0,0,1.175,-164.378,104.365,0,0,0,0
10259,0,0,1.183,-165.269,103.879,0,0,0,0
10260,0,0,1.19,-166.159,103.393,0,0,0,0
10261,0,0,1.197,-167.05,102.907,0,0,0,0
10262,0,0,1.205,-167.94,102.421,0,0,0,0
10263,0,0,1.212,-168.831,101.935,0,0,0,0
10264,0,0,1.22,-169.721,101.449,0,0,0,0
10265,0,0,1.227,-170.612,100.963,0,0,0,0
10266,0,0,1.234,-171.502,100.477,0,0,0,0
10267,0,0,1.242,-172.393,99.991,0,0,0,0
10268,0,0,1.249,-173.283,99.505,0,0,0,0
10269,0,0,1.257,-174.174,99.019,0,0,0,0
10270,0,0,1.264,-175.064,98.533,0,0,0,0
10271,0,0,1.272,-175.955,98.047,0,0,0,0
10272,0,0,1.172,-177.018,97.361,0,0,0,0
10273,0,0,1.178,-178.037,96.657,0,0,0,0
10274,0,0,1.2,-178.998,95.936,0,0,0,0
10275,0,0,1.217,-179.866,95.129,0,0,0,0
10276,0,0,1.221,-180.664,94.253,0,0,0,0
10277,0,0,1.206,-181.255,93.327,0,0,0,0
10278,0,0,1.191,-181.697,92.344,0,0,0,0
10279,0,0,1.201,-182.007,91.348,0,0,0,0
10280,0,0,1.181,-182.129,90.296,0,0,0,0
10281,0,0,1.206,-182.079,89.064,0,0,0,0
10282,0,0,1.213,-181.847,87.876,0,0,0,0
10283,0,0,1.185,-181.548,86.902,0,0,0,0
10284,0,0,1.192,-181.208,85.93,0,0,0,0
10285,0,0,1.099,-180.756,85.008,0,0,0,0
10286,0,0,1.206,-180.266,84.056,0,0,0,0
10287,0,0,1.246,-179.728,83.113,0,0,0,0
10288,0,0,1.223,-179.194,82.186,0,0,0,0
10289,0,0,1.201,-178.661,81.259,0,0,0,0
10290,0,0,1.177,-178.114,80.361,0,0,0,0
10291,0,0,1.158,-177.586,79.499,0,0,0,0
10292,0,0,1.14,-177.058,78.637,0,0,0,0
10293,0,0,1.122,-176.531,77.776,0,0,0,0
10294,0,0,1.104,-176.003,76.914,0,0,0,0
10295,0,0,1.086,-175.475,76.053,0,0,0,0
10296,0,0,1.068,-174.948,75.191,0,0,0,0
10297,0,0,1.05,-174.42,74.33,0,0,0,0
10298,0,0,1.032,-173.892,73.468,0,0,0,0
10299,0,0,1.013,-173.365,72.607,0,0,0,0
10300,0,0,0.995,-172.837,71.745,0,0,0,0
10301,0,0,0.977,-172.309,70.884,0,0,0,0
10302,0,0,0.959,-171.782,70.022,0,0,0,0
10303,0,0,0.941,-171.254,69.161,0,0,0,0
10304,0,0,0.923,-170.726,68.299,0,0,0,0
10305,0,0,0.905,-170.199,67.438,0,0,0,0
10306,0,0,0.887,-169.671,66.576,0,0,0,0
10307,0,0,0.869,-169.144,65.715,0,0,0,0
10308,0,0,0.853,-168.519,64.796,0,0,0,0
10309,0,0,0.842,-167.869,63.87,0,0,0,0
10310,0,0,0.846,-167.212,62.983,0,0,0,0
10311,0,0,0.844,-166.546,62.171,0,0,0,0
10312,0,0,0.842,-165.845,61.371,0,0,0,0
10313,0,0,0.832,-165.117,60.605,0,0,0,0
10314,0,0,0.823,-164.372,59.931,0,0,0,0
10315,0,0,0.806,-163.587,59.3,0,0,0,0
10316,0,0,0.821,-162.505,58.569,0,0,0,0
10317,0,0,0.814,-161.631,58.082,0,0,0,0
10318,0,0,0.795,-160.443,57.577,0,0,0,0
10319,0,0,0.774,-159.244,57.268,0,0,0,0
10320,0,0,0.755,-158.047,57.106,0,0,0,0
10321,0,0,0.734,-156.874,57.121,0,0,0,0
10322,0,0,0.72,-155.878,57.271,0,0,0,0
10323,0,0,0.713,-154.656,57.521,0,0,0,0
10324,0,0,0.697,-153.686,57.724,0,0,0,0
10325,0,0,0.703,-152.459,58.153,0,0,0,0
10326,0,0,0.697,-151.283,58.588,0,0,0,0
10327,0,0,0.683,-150.175,59.095,0,0,0,0
10328,0,0,0.67,-149.024,59.639,0,0,0,0
10329,0,0,0.653,-147.877,60.241,0,0,0,0
10330,0,0,0.654,-146.719,60.862,0,0,0,0
10331,0,0,0.639,-145.799,61.347,0,0,0,0
10332,0,0,0.638,-144.916,61.843,0,0,0,0
10333,0,0,0.636,-143.968,62.358,0,0,0,0
10334,0,0,0.637,-143.072,62.87,0,0,0,0
10335,0,0,0.637,-142.144,63.396,0,0,0,0
10336,0,0,0.622,-141.226,63.89,0,0,0,0
10337,0,0,0.61,-140.299,64.376,0,0,0,0
10338,0,0,0.602,-139.378,64.849,0,0,0,0
10339,0,0,0.594,-138.481,65.343,0,0,0,0
10340,0,0,0.589,-137.574,65.815,0,0,0,0
10341,0,0,0.577,-136.684,66.303,0,0,0,0
10342,0,0,0.565,-135.786,66.791,0,0,0,0
10343,0,0,0.566,-134.92,67.283,0,0,0,0
10344,0,0,0.563,-134.048,67.762,0,0,0,0
10345,0,0,0.572,-133.133,68.264,0,0,0,0
10346,0,0,0.548,-132.015,68.856,0,0,0,0
10347,0,0,0.554,-130.906,69.419,0,0,0,0
10348,0,0,0.559,-129.75,69.975,0,0,0,0
10349,0,0,0.538,-128.577,70.485,0,0,0,0
10350,0,0,0.545,-127.373,70.911,0,0,0,0
10351,0,0,0.582,-126.123,71.244,0,0,0,0
10352,0,0,0.591,-124.861,71.488,0,0,0,0
10353,0,0,0.578,-123.57,71.624,0,0,0,0
10354,0,0,0.553,-122.564,71.633,0,0,0,0
10355,0,0,0.564,-121.24,71.582,0,0,0,0
10356,0,0,0.518,-119.927,71.395,0,0,0,0
10357,0,0,0.536,-118.93,71.177,0,0,0,0
10358,0,0,0.55,-117.914,70.841,0,0,0,0
10359,0,0,0.536,-116.948,70.426,0,0,0,0
10360,0,0,0.527,-116.016,69.925,0,0,0,0
10361,0,0,0.52,-115.111,69.351,0,0,0,0
10362,0,0,0.498,-114.208,68.681,0,0,0,0
10363,0,0,0.504,-113.39,67.914,0,0,0,0
10364,0,0,0.48,-112.601,67.098,0,0,0,0
10365,0,0,0.474,-111.856,66.221,0,0,0,0
10366,0,0,0.477,-111.126,65.298,0,0,0,0
10367,0,0,0.452,-110.432,64.358,0,0,0,0
10368,0,0,0.436,-109.75,63.39,0,0,0,0
10369,0,0,0.42,-109.072,62.326,0,0,0,0
10370,0,0,0.416,-108.564,61.451,0,0,0,0
10371,0,0,0.412,-108.053,60.559,0,0,0,0
10372,0,0,0.409,-107.542,59.668,0,0,0,0
10373,0,0,0.416,-106.966,58.714,0,0,0,0
10374,0,0,0.412,-106.456,57.824,0,0,0,0
10375,0,0,0.407,-105.95,56.938,0,0,0,0
10376,0,0,0.403,-105.444,56.052,0,0,0,0
10377,0,0,0.399,-104.939,55.166,0,0,0,0
10378,0,0,0.394,-104.433,54.28,0,0,0,0
10379,0,0,0.39,-103.927,53.394,0,0,0,0
10380,0,0,0.386,-103.422,52.508,0,0,0,0
10381,0,0,0.381,-102.916,51.622,0,0,0,0
10382,0,0,0.377,-102.41,50.736,0,0,0,0
10383,0,0,0.373,-101.905,49.85,0,0,0,0
10384,0,0,0.368,-101.399,48.964,0,0,0,0
10385,0,0,0.364,-100.893,48.078,0,0,0,0
10386,0,0,0.36,-100.388,47.193,0,0,0,0
10387,0,0,0.335,-99.734,45.925,0,0,0,0
10388,0,0,0.342,-99.283,45.04,0,0,0,0
10389,0,0,0.328,-98.598,43.779,0,0,0,0
10390,0,0,0.323,-98.115,42.86,0,0,0,0
10391,0,0,0.318,-97.632,41.942,0,0,0,0
10392,0,0,0.313,-97.149,41.024,0,0,0,0
10393,0,0,0.308,-96.667,40.106,0,0,0,0
10394,0,0,0.303,-96.184,39.188,0,0,0,0
10395,0,0,0.298,-95.701,38.269,0,0,0,0
10396,0,0,0.293,-95.219,37.351,0,0,0,0
10397,0,0,0.288,-94.736,36.433,0,0,0,0
10398,0,0,0.283,-94.253,35.515,0,0,0,0
10399,0,0,0.279,-93.771,34.597,0,0,0,0
10400,0,0,0.267,-93.316,33.683,0,0,0,0
10401,0,0,0.27,-92.85,32.776,0,0,0,0
10402,0,0,0.275,-92.388,31.865,0,0,0,0
10403,0,0,0.267,-91.951,30.964,0,0,0,0
10404,0,0,0.245,-91.5,30.048,0,0,0,0
10405,0,0,0.259,-91.024,29.115,0,0,0,0
10406,0,0,0.249,-90.585,28.224,0,0,0,0
10407,0,0,0.239,-90.147,27.308,0,0,0,0
10408,0,0,0.24,-89.664,26.38,0,0,0,0
10409,0,0,0.246,-89.252,25.449,0,0,0,0
10410,0,0,0.242,-88.803,24.508,0,0,0,0
10411,0,0,0.237,-88.365,23.55,0,0,0,0
10412,0,0,0.251,-87.937,22.619,0,0,0,0
10413,0,0,0.235,-87.502,21.662,0,0,0,0
10414,0,0,0.216,-87.093,20.718,0,0,0,0
10415,0,0,0.224,-86.688,19.752,0,0,0,0
10416,0,0,0.234,-86.269,18.785,0,0,0,0
10417,0,0,0.227,-85.857,17.805,0,0,0,0
10418,0,0,0.211,-85.414,16.835,0,0,0,0
10419,0,0,0.221,-85.004,15.864,0,0,0,0
10420,0,0,0.218,-84.622,14.896,0,0,0,0
10421,0,0,0.216,-84.195,13.884,0,0,0,0
10422,0,0,0.235,-83.828,12.867,0,0,0,0
10423,0,0,0.231,-83.417,11.879,0,0,0,0
10424,0,0,0.198,-83.027,10.854,0,0,0,0
10425,0,0,0.221,-82.647,9.847,0,0,0,0
10426,0,0,0.228,-82.23,8.855,0,0,0,0
10427,0,0,0.225,-81.833,7.814,0,0,0,0
10428,0,0,0.228,-81.464,6.804,0,0,0,0
10429,0,0,0.225,-81.06,5.764,0,0,0,0
10430,0,0,0.229,-80.664,4.723,0,0,0,0
10431,0,0,0.237,-80.289,3.699,0,0,0,0
10432,0,0,0.209,-79.938,2.609,0,0,0,0
10433,0,0,0.209,-79.555,1.598,0,0,0,0
10434,0,0,0.233,-79.168,0.549,0,0,0,0
10435,0,0,0.229,-78.775,-0.489,0,0,0,0
10436,0,0,0.236,-78.415,-1.555,0,0,0,0
10437,0,0,0.221,-78.053,-2.622,0,0,0,0
10438,0,0,0.246,-77.713,-3.7,0,0,0,0
10439,0,0,0.239,-77.378,-4.767,0,0,0,0
10440,0,0,0.222,-77.044,-5.851,0,0,0,0
10441,0,0,0.226,-76.73,-6.944,0,0,0,0
10442,0,0,0.241,-76.415,-8.048,0,0,0,0
10443,0,0,0.261,-76.098,-9.158,0,0,0,0
10444,0,0,0.256,-75.831,-10.257,0,0,0,0
10445,0,0,0.248,-75.562,-11.432,0,0,0,0
10446,0,0,0.239,-75.257,-12.516,0,0,0,0
10447,0,0,0.278,-75.029,-13.658,0,0,0,0
10448,0,0,0.296,-74.792,-14.757,0,0,0,0
10449,0,0,0.281,-74.552,-15.855,0,0,0,0
10450,0,0,0.288,-74.328,-16.94,0,0,0,0
10451,0,0,0.312,-74.133,-18.035,0,0,0,0
10452,0,0,0.298,-73.99,-19.084,0,0,0,0
10453,0,0,0.301,-73.812,-20.125,0,0,0,0
10454,0,0,0.326,-73.68,-21.195,0,0,0,0
10455,0,0,0.329,-73.544,-22.199,0,0,0,0
10456,0,0,0.323,-73.431,-23.238,0,0,0,0
10457,0,0,0.32,-73.326,-24.308,0,0,0,0
10458,0,0,0.309,-73.228,-25.342,0,0,0,0
10459,0,0,0.331,-73.129,-26.417,0,0,0,0
10460,0,0,0.34,-73.027,-27.485,0,0,0,0
10461,0,0,0.355,-72.923,-28.545,0,0,0,0
10462,0,0,0.365,-72.852,-29.616,0,0,0,0
10463,0,0,0.381,-72.784,-30.693,0,0,0,0
10464,0,0,0.386,-72.713,-31.778,0,0,0,0
10465,0,0,0.378,-72.626,-32.886,0,0,0,0
10466,0,0,0.392,-72.57,-33.955,0,0,0,0
10467,0,0,0.403,-72.507,-35.03,0,0,0,0
10468,0,0,0.428,-72.439,-36.072,0,0,0,0
10469,0,0,0.478,-72.384,-37.136,0,0,0,0
10470,0,0,0.326,-72.304,-38.23,0,0,0,0
10471,0,0,0.303,-72.225,-39.307,0,0,0,0
10472,0,0,0.389,-72.189,-40.378,0,0,0,0
10473,0,0,0.566,-72.131,-41.471,0,0,0,0
10474,0,0,0.557,-72.13,-42.53,0,0,0,0
10475,0,0,0.476,-72.066,-43.642,0,0,0,0
10476,0,0,0.481,-72.025,-44.758,0,0,0,0
10477,0,0,0.485,-71.987,-45.762,0,0,0,0
10478,0,0,0.489,-71.95,-46.767,0,0,0,0
10479,0,0,0.493,-71.913,-47.771,0,0,0,0
10480,0,0,0.497,-71.875,-48.776,0,0,0,0
10481,0,0,0.501,-71.838,-49.781,0,0,0,0
10482,0,0,0.505,-71.801,-50.785,0,0,0,0
10483,0,0,0.509,-71.763,-51.79,0,0,0,0
10484,0,0,0.513,-71.726,-52.794,0,0,0,0
10485,0,0,0.517,-71.689,-53.799,0,0,0,0
10486,0,0,0.521,-71.652,-54.804,0,0,0,0
10487,0,0,0.547,-71.577,-55.881,0,0,0,0
10488,0,0,0.525,-71.53,-56.998,0,0,0,0
10489,0,0,0.521,-71.448,-58.062,0,0,0,0
10490,0,0,0.522,-71.347,-59.067,0,0,0,0
10491,0,0,0.522,-71.245,-60.071,0,0,0,0
10492,0,0,0.522,-71.143,-61.076,0,0,0,0
10493,0,0,0.523,-71.041,-62.081,0,0,0,0
10494,0,0,0.523,-70.939,-63.086,0,0,0,0
