PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10113,0,0,1.234,-155.286,170.929,0,0,0,0
10114,0,0,1.23,-154.41,171.414,0,0,0,0
10115,0,0,1.226,-153.533,171.899,0,0,0,0
10116,0,0,1.222,-152.657,172.384,0,0,0,0
10117,0,0,1.219,-151.78,172.869,0,0,0,0
10118,0,0,1.215,-150.904,173.353,0,0,0,0
10119,0,0,1.211,-150.027,173.839,0,0,0,0
10120,0,0,1.207,-149.151,174.323,0,0,0,0
10121,0,0,1.204,-148.274,174.809,0,0,0,0
10122,0,0,1.2,-147.398,175.294,0,0,0,0
10123,0,0,1.196,-146.521,175.779,0,0,0,0
10124,0,0,1.192,-145.645,176.264,0,0,0,0
10125,0,0,1.188,-144.768,176.749,0,0,0,0
10126,0,0,1.185,-143.892,177.234,0,0,0,0
10127,0,0,1.181,-143.015,177.719,0,0,0,0
10128,0,0,1.177,-142.139,178.204,0,0,0,0
10129,0,0,1.173,-141.262,178.689,0,0,0,0
10130,0,0,1.17,-140.386,179.174,0,0,0,0
10131,0,0,1.113,-139.343,179.788,0,0,0,0
10132,0,0,1.114,-138.24,180.319,0,0,0,0
10133,0,0,1.117,-137.134,180.862,0,0,0,0
10134,0,0,1.111,-136.033,181.3,0,0,0,0
10135,0,0,1.089,-134.924,181.731,0,0,0,0
10136,0,0,1.084,-133.781,182.087,0,0,0,0
10137,0,0,1.079,-132.55,182.392,0,0,0,0
10138,0,0,1.042,-131.307,182.617,0,0,0,0
10139,0,0,1.093,-130.038,182.787,0,0,0,0
10140,0,0,1.039,-128.776,182.807,0,0,0,0
10141,0,0,1.07,-127.436,182.721,0,0,0,0
10142,0,0,1.018,-126.185,182.516,0,0,0,0
10143,0,0,1.014,-124.902,182.177,0,0,0,0
10144,0,0,1.002,-123.691,181.739,0,0,0,0
10145,0,0,0.946,-122.531,181.176,0,0,0,0
10146,0,0,0.978,-121.462,180.508,0,0,0,0
10147,0,0,0.939,-120.448,179.769,0,0,0,0
10148,0,0,0.934,-119.391,178.919,0,0,0,0
10149,0,0,0.907,-118.453,177.974,0,0,0,0
10150,0,0,0.883,-117.541,176.995,0,0,0,0
10151,0,0,0.884,-116.763,175.924,0,0,0,0
10152,0,0,0.889,-115.987,174.78,0,0,0,0
10153,0,0,0.857,-115.281,173.687,0,0,0,0
10154,0,0,0.847,-114.582,172.514,0,0,0,0
10155,0,0,0.856,-114.094,171.643,0,0,0,0
10156,0,0,0.849,-113.599,170.757,0,0,0,0
10157,0,0,0.843,-113.105,169.871,0,0,0,0
10158,0,0,0.836,-112.611,168.985,0,0,0,0
10159,0,0,0.83,-112.117,168.099,0,0,0,0
10160,0,0,0.824,-111.623,167.214,0,0,0,0
10161,0,0,0.817,-111.128,166.328,0,0,0,0
10162,0,0,0.811,-110.634,165.442,0,0,0,0
10163,0,0,0.804,-110.14,164.556,0,0,0,0
10164,0,0,0.798,-109.646,163.671,0,0,0,0
10165,0,0,0.792,-109.152,162.785,0,0,0,0
10166,0,0,0.785,-108.657,161.899,0,0,0,0
10167,0,0,0.779,-108.163,161.013,0,0,0,0
10168,0,0,0.773,-107.669,160.128,0,0,0,0
10169,0,0,0.766,-107.175,159.242,0,0,0,0
10170,0,0,0.76,-106.681,158.356,0,0,0,0
10171,0,0,0.753,-106.187,157.47,0,0,0,0
10172,0,0,0.747,-105.692,156.584,0,0,0,0
10173,0,0,0.741,-105.198,155.699,0,0,0,0
10174,0,0,0.734,-104.704,154.813,0,0,0,0
10175,0,0,0.728,-104.21,153.927,0,0,0,0
10176,0,0,0.721,-103.716,153.041,0,0,0,0
10177,0,0,0.715,-103.221,152.156,0,0,0,0
10178,0,0,0.709,-102.727,151.27,0,0,0,0
10179,0,0,0.702,-102.233,150.384,0,0,0,0
10180,0,0,0.696,-101.739,149.498,0,0,0,0
10181,0,0,0.69,-101.245,148.613,0,0,0,0
10182,0,0,0.683,-100.751,147.727,0,0,0,0
10183,0,0,0.677,-100.256,146.841,0,0,0,0
10184,0,0,0.67,-99.762,145.955,0,0,0,0
10185,0,0,0.664,-99.268,145.069,0,0,0,0
10186,0,0,0.658,-98.774,144.184,0,0,0,0
10187,0,0,0.651,-98.28,143.298,0,0,0,0
10188,0,0,0.645,-97.785,142.412,0,0,0,0
10189,0,0,0.638,-97.291,141.526,0,0,0,0
10190,0,0,0.632,-96.797,140.641,0,0,0,0
10191,0,0,0.626,-96.303,139.755,0,0,0,0
10192,0,0,0.619,-95.809,138.869,0,0,0,0
10193,0,0,0.613,-95.314,137.983,0,0,0,0
10194,0,0,0.607,-94.82,137.098,0,0,0,0
10195,0,0,0.6,-94.326,136.212,0,0,0,0
10196,0,0,0.594,-93.832,135.326,0,0,0,0
10197,0,0,0.587,-93.338,134.44,0,0,0,0
10198,0,0,0.581,-92.844,133.554,0,0,0,0
10199,0,0,0.575,-92.349,132.669,0,0,0,0
10200,0,0,0.568,-91.855,131.783,0,0,0,0
10201,0,0,0.562,-91.361,130.897,0,0,0,0
10202,0,0,0.555,-90.867,130.011,0,0,0,0
10203,0,0,0.549,-90.373,129.126,0,0,0,0
10204,0,0,0.543,-89.878,128.24,0,0,0,0
10205,0,0,0.536,-89.384,127.354,0,0,0,0
